env_step,rew,time
1088,-2607.7305,317.5295
2432,-2682.7002,645.1778
3776,-2677.9961,968.4129
5120,-2693.0034,1293.0799
6464,-2528.0037,1615.2198
7808,-2628.3489,1939.836
9152,-2510.6257,2263.7412
10496,-2530.9656,2588.0205
11840,-2543.0808,2910.7121
13184,-2439.0117,3233.1855
14528,-2598.106,3557.1821
15872,-2596.7549,3881.3885
17216,-2563.3738,4204.48
18560,-2358.4414,4527.6968
19904,-2604.3728,4849.2093
21248,-2603.3372,5170.3491
22592,-2182.376,5491.2748
23936,-2442.2444,5813.6593
25280,-2403.7947,6133.9626
26624,-2376.634,6458.5516
27968,-2249.186,6779.5902
29312,-2302.376,7100.2458
30656,-2340.4709,7431.5397
32000,-2399.7981,7786.1121
33344,-2267.7024,8139.2345
34688,-2370.6116,8490.9623
36032,-2052.7571,8814.1456
37376,-2154.7107,9133.3125
38720,-2165.2698,9453.578
40064,-2025.1177,9774.5383
41408,-2064.5659,10094.6161
42752,-2099.8865,10413.9322
44096,-2342.7451,10736.0874
45440,-2047.8721,11056.9832
46784,-2099.3677,11378.2588
48128,-2189.1458,11724.6824
49472,-2107.3923,12061.5199
50816,-1923.3732,12384.8094
52160,-2086.3501,12706.5699
53504,-2026.0723,13026.747
54848,-2150.0696,13348.1287
56192,-1979.2896,13669.4943
57536,-2038.7692,13990.9735
58880,-2038.0471,14320.7505
60224,-1753.9691,14645.0497
61568,-1740.9899,14965.8326
62912,-1796.1062,15287.0286
64256,-1782.7075,15609.6915
65600,-1768.916,15940.553
66944,-1748.0226,16261.5482
68288,-1714.3367,16583.1405
69632,-1817.9855,16903.6694
70976,-1572.11,17226.1482
72320,-1639.6964,17547.6479
73664,-1638.4961,17867.2921
75008,-1684.5576,18188.8355
76352,-1733.7472,18510.2483
77696,-1624.8477,18833.9852
79040,-1690.5315,19155.2387
80384,-1597.5846,19475.4935
81728,-1462.2628,19796.7705
83072,-1578.8988,20118.3965
84416,-1574.4156,20437.9873
85760,-1431.9744,20755.0724
87104,-1553.038,21072.4553
88448,-1471.6891,21391.182
89792,-1467.233,21709.5175
91136,-1359.709,22030.7851
92480,-1393.2799,22357.4348
93824,-1378.6243,22676.4804
95168,-1415.046,22995.9987
96512,-1196.0299,23314.7393
97856,-1264.1475,23636.0798
99200,-1389.7305,23954.3852
100544,-1196.6689,24272.3325
101888,-1327.509,24590.608
103232,-1205.7719,24909.3617
104576,-1143.2472,25226.4031
105920,-1296.7637,25543.4838
107264,-1121.2172,25862.2515
108608,-1188.559,26179.9354
109952,-1132.2968,26496.9968
111296,-1048.4895,26813.3808
112640,-1018.7317,27130.2785
113984,-1108.1676,27447.1933
115328,-976.7847,27765.8478
116672,-995.8394,28123.443
118016,-932.1509,28446.0198
119360,-1018.551,28764.9031
120704,-848.9913,29083.483
122048,-862.0462,29399.5792
123392,-909.4124,29717.1991
124736,-828.1285,30033.7359
126080,-867.1223,30350.4272
127424,-776.0925,30669.3383
128768,-737.4666,30988.3946
130112,-770.2895,31305.5779
131456,-732.9669,31622.5367
132800,-827.6137,31941.3093
134144,-725.5089,32259.9741
135488,-727.8682,32577.5291
136832,-692.3243,32894.2811
138176,-628.831,33220.0237
139520,-719.5305,33568.3058
140864,-677.406,33885.9785
142208,-739.4872,34201.8518
143552,-693.2854,34519.3377
144896,-679.2885,34836.4225
146240,-643.4241,35152.7946
147584,-688.8999,35470.7836
148928,-654.5811,35787.9529
150272,-648.347,36104.8155
151616,-708.376,36422.1111
152960,-725.7965,36739.8863
154304,-686.2705,37056.8994
155648,-731.0184,37374.2574
156992,-656.9676,37690.8235
158336,-684.408,38007.4639
159680,-642.8153,38356.8266
161024,-632.0652,38676.5756
162368,-640.7658,38993.0556
163712,-702.2039,39310.7455
165056,-665.6461,39628.4107
166400,-716.7689,39946.0731
167744,-734.08,40262.8731
169088,-733.6085,40578.2296
170432,-676.8249,40894.2201
171776,-660.3457,41210.2572
173120,-630.3953,41526.1947
174464,-718.7018,41842.9592
175808,-652.112,42158.6068
177152,-646.8701,42472.8666
178496,-666.9974,42789.3992
179840,-636.835,43106.4173
181184,-635.7698,43422.5999
182528,-658.6639,43739.3224
183872,-721.5066,44072.6405
185216,-728.046,44415.2203
186560,-688.0182,44730.3429
187904,-675.7704,45045.2444
189248,-676.6745,45358.1033
190592,-666.9467,45674.522
191936,-679.2191,45990.6712
193280,-743.5541,46302.7372
194624,-671.0768,46619.2355
195968,-662.5487,46935.1328
197312,-671.6983,47250.9636
198656,-702.1774,47567.1977
200000,-664.8227,47883.3213
201344,-703.8578,48198.946
202688,-629.913,48514.489
204032,-667.7502,48831.9105
205376,-681.2855,49148.9858
206720,-640.5413,49465.8012
208064,-734.0012,49782.3915
209408,-662.0635,50098.3699
210752,-680.885,50416.4502
212096,-673.7156,50733.4306
213440,-601.0508,51049.9003
214784,-659.792,51362.3594
216128,-712.773,51680.0874
217472,-703.4289,51993.8986
218816,-682.1411,52310.3453
220160,-687.2736,52627.6618
221504,-652.4504,52945.332
222848,-702.4058,53260.0493
224192,-623.0836,53579.3389
225536,-616.4544,53897.0109
226880,-768.5452,54214.8222
228224,-702.5724,54532.9234
229568,-653.6381,54855.2423
230912,-680.3965,55171.5217
232256,-728.3295,55489.3395
233600,-614.1306,55806.5728
234944,-661.2662,56122.9344
236288,-693.1507,56439.0887
237632,-640.0383,56755.733
238976,-695.6119,57073.3393
240320,-710.2762,57389.4666
241664,-753.4478,57705.1771
243008,-669.8402,58021.6507
244352,-681.0476,58340.315
245696,-671.0738,58658.6608
247040,-752.7921,58975.6953
248384,-710.8536,59291.6679
249728,-716.7732,59608.2844
251072,-693.0059,59924.3121
252416,-646.1613,60240.0673
253760,-658.8022,60559.2833
255104,-661.7787,60877.2223
256448,-618.5929,61196.6752
257792,-673.1669,61514.175
259136,-668.9625,61831.736
260480,-701.401,62148.653
261824,-690.7425,62467.986
263168,-661.6652,62786.2884
264512,-675.1697,63104.0435
265856,-594.0792,63422.942
267200,-654.5184,63741.3276
268544,-652.8364,64057.8767
269888,-650.9871,64376.0043
271232,-661.2825,64694.214
272576,-632.574,65011.4047
273920,-624.4138,65331.2289
275264,-664.3704,65657.3213
276608,-713.6373,65976.2024
277952,-687.6663,66295.5577
279296,-779.6896,66613.2712
280640,-685.3719,66931.9849
281984,-728.8669,67250.3828
283328,-699.3678,67567.2971
284672,-692.4279,67885.7557
286016,-711.7955,68203.5652
287360,-640.9684,68521.2365
288704,-662.0445,68841.9642
290048,-663.0482,69162.5179
291392,-651.3619,69479.1339
292736,-696.8297,69797.6663
294080,-633.6588,70117.4204
295424,-631.256,70434.6104
296768,-643.5424,70750.8237
298112,-635.2228,71068.8178
299456,-692.799,71384.8589
300800,-672.1076,71703.163
302144,-663.0551,72019.5637
303488,-697.7437,72335.6815
304832,-650.3563,72653.0757
306176,-693.5492,72969.8408
307520,-696.4904,73288.3246
308864,-651.166,73606.4058
310208,-704.0352,73923.4136
311552,-744.0917,74239.6637
312896,-706.444,74556.0572
314240,-670.2722,74870.9711
315584,-650.7723,75189.0932
316928,-629.8705,75508.7146
318272,-668.2191,75825.864
319616,-649.8348,76143.8997
320960,-654.9048,76462.1637
322304,-677.5464,76779.634
323648,-648.5514,77097.1837
324992,-694.9016,77415.778
326336,-682.4889,77733.5425
327680,-654.3525,78052.0062
329024,-700.1829,78369.5138
330368,-678.1587,78686.7781
331712,-652.4548,78972.7152
333056,-724.0396,79239.8575
334400,-649.5674,79493.0498
335744,-677.9564,79734.0819
