env_step,rew,time
2688,-2517.2063,380.3972
5376,-2517.1973,755.1736
8064,-2306.2939,1130.9873
10752,-2477.8811,1510.2058
13440,-2298.1538,1890.2281
16128,-2232.5342,2270.0076
18816,-2199.0374,2645.9704
21504,-2191.6594,3020.6884
24192,-2064.8223,3403.18
26880,-1972.5594,3788.1494
29568,-1923.1416,4171.8226
32256,-1767.5994,4553.9672
34944,-1764.2986,4938.9056
37632,-1690.4923,5309.9704
40320,-1735.7592,5690.0214
43008,-1641.3928,6069.8472
45696,-1583.2987,6452.0434
48384,-1570.2322,6825.9503
51072,-1569.3335,7201.7552
53760,-1453.6052,7581.0508
56448,-1459.7914,7964.4265
59136,-1410.5564,8350.2086
61824,-1406.4192,8733.9415
64512,-1396.3527,9115.6874
67200,-1311.7567,9498.0337
69888,-1304.157,9877.5881
72576,-1307.1141,10238.6937
75264,-1283.6864,10600.5266
77952,-1245.7097,10964.4915
80640,-1206.4424,11332.1805
83328,-1184.9674,11702.4657
86016,-1162.4353,12073.0489
88704,-1132.0419,12446.8489
91392,-1119.4133,12826.0517
94080,-1097.626,13206.6471
96768,-1098.6904,13586.719
99456,-1063.1007,13962.4371
102144,-1072.2847,14337.9177
104832,-1067.3229,14738.5947
107520,-1001.9915,15095.1374
110208,-1060.0214,15454.0453
112896,-1011.5847,15815.7692
115584,-1012.5101,16179.4738
118272,-998.8738,16547.9209
120960,-1015.5482,16916.1953
123648,-978.5145,17289.9472
126336,-987.056,17674.738
129024,-954.5527,18062.4835
131712,-957.08,18440.8382
134400,-955.1541,18824.6714
137088,-974.3918,19215.4637
139776,-933.0895,19599.1094
142464,-907.7612,19958.4739
145152,-890.5665,20316.4026
147840,-912.5627,20677.2005
150528,-893.7102,21039.6556
153216,-914.5942,21408.129
155904,-871.1242,21778.9386
158592,-893.4644,22148.2265
161280,-899.8105,22526.809
163968,-868.6373,22906.3468
166656,-837.3216,23287.1271
169344,-902.6597,23665.4914
172032,-901.9207,24044.7166
174720,-887.2571,24427.9619
177408,-883.4601,24785.7841
180096,-860.5897,25146.5636
182784,-841.0374,25502.5976
185472,-824.1927,25863.1146
188160,-832.3611,26224.3859
190848,-817.6458,26589.4423
193536,-813.3331,26955.0006
196224,-782.4571,27321.9536
198912,-785.7313,27689.3143
201600,-767.4777,28048.0498
204288,-794.3617,28422.3991
206976,-820.949,28850.5599
209664,-833.6832,29233.8646
212352,-816.6653,29630.4855
215040,-814.6694,29995.8467
217728,-781.913,30354.7633
220416,-771.8293,30722.7262
223104,-768.8197,31094.982
225792,-758.9086,31481.2366
228480,-780.0848,31848.69
231168,-760.6796,32235.3523
233856,-747.2584,32639.8847
236544,-784.9749,33066.2419
239232,-736.2857,33522.4968
241920,-739.6379,33996.5068
244608,-740.761,34443.0285
247296,-736.2359,34877.9184
249984,-741.5549,35286.8425
252672,-755.5616,35732.3243
255360,-748.091,36177.8102
258048,-743.5905,36610.8455
260736,-731.0001,37052.6763
263424,-741.8239,37487.6886
266112,-747.571,37920.9825
268800,-743.2104,38340.1213
271488,-718.77,38758.4209
274176,-732.4558,39178.2331
276864,-719.5828,39614.0858
279552,-721.7286,39999.133
282240,-745.3102,40389.9726
284928,-729.4257,40762.248
287616,-735.8712,41119.703
290304,-738.0814,41487.7859
292992,-740.7833,41860.7071
295680,-740.1353,42236.6292
298368,-722.3983,42611.3804
301056,-746.4904,42995.6036
303744,-723.0621,43384.9952
306432,-722.075,43772.5492
309120,-726.2656,44136.7384
311808,-704.1047,44507.5063
314496,-732.3323,44885.8552
317184,-756.8464,45252.1487
319872,-754.9527,45623.9778
322560,-735.3482,46006.1082
325248,-721.8661,46383.0805
327936,-722.8654,46774.8511
330624,-716.6085,47163.1598
333312,-734.7827,47553.029
336000,-720.0176,47956.3068
338688,-723.0479,48365.4841
341376,-708.4741,48780.4458
344064,-696.8541,49201.1803
346752,-747.7089,49606.9045
349440,-716.938,50003.553
352128,-696.0295,50386.3362
354816,-699.7941,50780.821
357504,-676.9528,51198.5267
360192,-676.1071,51615.088
362880,-686.1523,52027.9003
365568,-680.9944,52461.0518
368256,-688.6867,52867.429
370944,-703.8602,53362.0637
373632,-685.9185,53792.8921
376320,-674.9311,54248.4226
379008,-696.3785,54682.5764
381696,-683.0667,55114.0369
384384,-717.969,55541.3468
387072,-697.0063,55964.7201
389760,-716.1136,56351.9532
392448,-685.8459,56762.5971
395136,-681.768,57185.81
397824,-692.9535,57602.031
400512,-702.2294,58042.5538
403200,-735.0035,58465.3035
405888,-702.111,58888.3183
408576,-711.2122,59286.4358
411264,-697.7552,59686.0814
413952,-706.8408,60098.3524
416640,-690.4384,60510.792
419328,-676.3403,60894.7561
422016,-684.0636,61266.9256
424704,-683.4583,61619.412
427392,-706.4302,61985.3585
430080,-700.6738,62378.6353
432768,-738.8094,62778.62
435456,-715.1429,63166.5262
438144,-702.7201,63555.0731
440832,-706.0369,63913.1509
443520,-700.5624,64285.5856
446208,-681.8036,64670.0855
448896,-672.1373,65068.3611
451584,-687.1201,65465.7593
454272,-671.4087,65848.2265
456960,-686.6736,66226.2042
459648,-669.5406,66605.2585
462336,-658.2039,66980.6292
465024,-669.6844,67346.292
467712,-675.9944,67770.5294
470400,-666.7779,68140.146
473088,-659.1043,68498.2442
475776,-662.8884,68866.9294
478464,-655.0991,69253.0053
481152,-657.1663,69632.5831
483840,-669.525,70025.8009
486528,-697.8106,70419.7428
489216,-681.1382,70820.3296
491904,-659.6263,71175.7865
494592,-654.5851,71582.8641
497280,-657.656,71978.6509
499968,-658.6669,72365.5304
502656,-669.8122,72761.9749
505344,-649.2836,73143.5399
508032,-642.4171,73550.4317
510720,-644.1988,73985.149
513408,-633.4925,74413.8004
516096,-640.6907,74827.231
518784,-650.8193,75254.7948
521472,-651.0885,75700.1734
524160,-647.6886,76100.8657
526848,-644.8669,76512.2477
529536,-655.5353,76906.5928
532224,-642.3262,77298.8869
534912,-648.1561,77663.6904
537600,-655.2327,78048.1907
540288,-655.0726,78448.07
542976,-646.4522,78849.3768
545664,-650.264,79242.7931
548352,-637.3032,79653.5231
551040,-652.4507,80057.2681
553728,-630.0084,80452.1857
556416,-637.9551,80829.199
559104,-642.5798,81238.979
561792,-636.5465,81614.2054
564480,-637.0498,81994.7013
567168,-636.1447,82383.1349
569856,-631.2788,82747.7397
572544,-638.4647,83110.5526
575232,-652.079,83459.8108
577920,-639.9233,83882.1347
580608,-660.1842,84261.1225
583296,-644.6191,84629.4746
585984,-638.8141,84992.3949
588672,-635.8684,85392.3394
591360,-631.6038,85777.6592
594048,-628.3486,86174.4611
596736,-629.4956,86522.4999
599424,-627.7634,86873.4416
602112,-625.2734,87246.3878
604800,-627.2062,87619.2939
607488,-628.9501,87999.8317
610176,-626.8351,88364.9277
612864,-623.3,88735.8499
615552,-619.4427,89113.9776
618240,-623.4847,89507.4147
620928,-627.4586,89896.0015
623616,-631.6321,90312.9938
626304,-623.3433,90732.0102
628992,-625.4795,91141.5234
631680,-627.3172,91504.7678
634368,-626.4448,91893.3262
637056,-652.8809,92290.3128
639744,-636.4644,92700.85
642432,-647.4094,93096.638
645120,-638.1191,93510.3665
647808,-631.2838,93917.4207
650496,-638.8033,94359.88
653184,-638.2867,94796.4699
655872,-635.8815,95250.6189
658560,-634.6601,95709.449
661248,-629.2219,96166.4836
663936,-626.5505,96631.176
666624,-629.2315,97065.0112
669312,-623.5881,97488.8017
672000,-626.1152,97901.8854
674688,-647.6832,98327.6708
677376,-649.6816,98781.7239
680064,-641.73,99205.2863
682752,-634.6042,99641.6849
685440,-633.0444,100079.4274
688128,-643.5903,100490.73
690816,-633.1898,100915.6674
693504,-634.1893,101346.4822
696192,-639.9877,101780.4578
698880,-638.4647,102198.9582
701568,-632.9489,102609.2138
704256,-641.8967,102982.7663
706944,-626.8645,103347.7585
709632,-632.2217,103717.4191
712320,-628.3184,104109.5086
715008,-627.7563,104502.2271
717696,-625.4042,104896.844
720384,-617.29,105300.8385
723072,-628.6448,105720.4477
725760,-624.5341,106138.0781
728448,-613.1252,106563.7064
731136,-615.3207,106987.1337
733824,-612.9442,107371.0659
736512,-612.7106,107754.2067
739200,-613.9573,108153.7126
741888,-617.504,108545.9787
744576,-614.5414,108950.3454
747264,-620.1465,109345.3298
749952,-621.2539,109746.3292
752640,-638.4305,110162.547
755328,-634.866,110566.2134
758016,-634.79,110972.445
760704,-627.2014,111399.5826
763392,-632.6203,111817.738
766080,-633.6574,112213.4903
768768,-647.0155,112622.6903
771456,-630.7878,113036.0018
774144,-626.4861,113448.4611
