env_step,rew,time
1088,-2765.4714,2010.8819
2432,-2730.0322,4386.1709
3776,-2785.1365,6768.3132
5120,-2668.0649,9171.7436
6464,-2570.8674,11524.1318
7808,-2615.2102,13871.0058
9152,-2531.0278,16239.77
10496,-2563.2136,18593.4233
11840,-2526.9158,20953.5088
13184,-2528.1509,23309.359
14528,-2488.489,25655.7827
15872,-2588.2183,27989.2572
17216,-2430.5576,30330.1158
18560,-2601.1497,32691.8609
19904,-2492.5208,35047.9578
21248,-2408.1267,37384.816
22592,-2340.4434,39735.9871
23936,-2396.9431,42083.4311
25280,-2381.0698,44426.4466
26624,-2405.2695,46777.191
27968,-2299.6694,49170.8359
29312,-2093.3193,51513.1751
30656,-2189.438,53835.3922
32000,-2319.4304,56173.2078
33344,-2136.804,58549.9645
34688,-2201.3811,60910.7991
36032,-2339.5747,63268.9815
37376,-2241.6631,65610.3916
38720,-2048.47,67956.8852
40064,-2004.34,70300.9214
41408,-2207.1616,72618.1773
42752,-2089.4968,74939.4062
44096,-2086.6211,77279.2769
45440,-1879.4534,79647.6401
46784,-2020.4364,81985.311
48128,-2078.2993,84315.426
49472,-2076.6587,86673.9252
50816,-1958.9468,89028.1929
52160,-2120.7341,91390.1415
53504,-1979.3126,93710.3839
54848,-1916.4193,96044.9359
56192,-1998.827,98358.3206
57536,-1838.8077,100713.5996
58880,-1827.3098,103041.9997
60224,-1711.8127,105358.3044
61568,-1844.1648,107696.1155
62912,-1945.4182,110028.8058
64256,-1698.3416,112337.762
65600,-1813.4838,114637.6585
66944,-1771.9877,116945.8349
68288,-1632.1865,119256.2046
69632,-1802.5287,121564.4852
70976,-1885.2601,123893.4115
72320,-1864.0728,126185.4546
73664,-1601.4535,128466.9895
75008,-1539.1058,130757.9836
76352,-1679.1167,133050.9689
77696,-1462.651,135356.4895
79040,-1655.5676,137640.3319
80384,-1622.5886,139926.4937
81728,-1411.8666,142245.1516
83072,-1557.9576,144574.281
84416,-1476.7646,146895.6775
85760,-1479.1632,149217.4754
87104,-1412.7111,151570.594
88448,-1497.5502,153934.8468
89792,-1372.2319,156318.6438
91136,-1426.6075,158653.5553
92480,-1223.4414,160999.0286
93824,-1397.9054,163351.3781
95168,-1200.9967,165705.1938
96512,-1354.0137,168106.0451
97856,-1206.6342,170479.1168
99200,-1230.8066,172864.1781
100544,-1343.3214,175262.6277
101888,-1138.7408,177702.2293
103232,-1085.6619,180153.9477
104576,-1152.2682,182620.5021
105920,-1258.0669,185089.2874
107264,-1300.5624,187689.286
108608,-1145.1636,190119.7217
109952,-1095.8221,192538.2766
111296,-1034.3304,194989.7737
112640,-967.0722,197430.9425
113984,-1108.8094,199893.2282
115328,-951.3579,202346.9372
116672,-932.658,204842.3053
118016,-973.3864,207329.2449
119360,-897.0631,209789.9929
120704,-975.9349,212305.5303
122048,-942.7974,214760.2921
123392,-866.9538,217708.7339
124736,-900.327,220275.588
126080,-804.8186,222739.3049
127424,-783.5164,225226.754
128768,-756.1625,227751.7562
130112,-758.2047,230254.417
131456,-728.1513,232804.4915
132800,-716.8368,235290.6259
134144,-650.677,237825.062
135488,-713.053,240335.6484
136832,-638.9443,242911.2283
138176,-748.6871,245426.8671
139520,-688.5486,247931.205
140864,-622.6034,250454.8867
142208,-682.9467,253016.3146
143552,-623.8969,255538.838
144896,-705.0055,258059.358
146240,-733.0674,260543.9188
147584,-715.0628,263093.5228
148928,-670.6262,265705.2514
150272,-673.8075,268225.6686
151616,-677.338,270757.1322
152960,-684.1735,273328.2523
154304,-640.4421,275856.0868
155648,-732.9224,278418.9962
156992,-661.9017,280930.4131
158336,-675.5035,283432.5244
159680,-631.5206,285967.9867
161024,-702.9805,288533.1638
162368,-608.5645,291122.4258
163712,-669.9133,293595.02
165056,-683.4265,296146.2326
166400,-700.0963,298706.4316
167744,-684.7234,301574.0469
169088,-660.2877,304187.3038
170432,-629.3306,306865.9682
171776,-689.325,309405.578
173120,-665.3815,312005.6962
174464,-656.6951,314556.3942
175808,-696.2592,317133.6263
177152,-631.3383,319718.877
178496,-660.7114,322296.2483
179840,-668.0541,324826.6422
181184,-665.0529,327320.5772
182528,-661.2546,329874.2037
183872,-643.1613,332440.9109
185216,-718.0213,335047.2062
186560,-717.1957,337646.1686
187904,-676.8646,340277.8555
189248,-632.702,342843.1978
190592,-688.2841,345461.3541
191936,-651.7702,347989.5719
193280,-687.9178,350538.6764
194624,-663.9299,353068.5626
195968,-647.9862,355562.7566
197312,-674.3116,358109.2434
198656,-627.6761,360567.9705
200000,-633.3599,363076.6926
201344,-722.9236,365619.3803
202688,-634.9346,368157.8046
204032,-687.9887,370704.5284
205376,-624.2687,373219.4815
206720,-729.4115,375776.1251
