env_step,rew,time
1344,-767.9438,334.3763
2688,-692.2916,664.0937
4032,-668.9111,993.6387
5376,-659.6779,1322.4797
6720,-654.3881,1652.2559
8064,-637.1984,2021.0355
9408,-647.384,2357.5637
10752,-643.448,2690.7678
12096,-635.899,3025.6322
13440,-630.352,3359.0926
14784,-623.831,3695.0336
16128,-635.3853,4030.0709
17472,-647.302,4360.442
18816,-640.5702,4691.4481
20160,-642.2787,5024.4805
21504,-623.9915,5356.0258
22848,-684.2048,5689.5139
24192,-663.4642,6024.2794
25536,-648.2285,6356.6976
26880,-650.6517,6689.6693
28224,-642.9421,7021.6817
29568,-643.7693,7363.0546
30912,-658.534,7697.2615
32256,-639.2366,8032.1565
33600,-644.9898,8367.1928
34944,-637.6558,8704.2364
36288,-641.3311,9030.2447
37632,-660.626,9359.2722
38976,-632.6374,9689.1157
40320,-664.0845,10019.1261
41664,-667.3096,10351.7276
43008,-688.188,10683.6421
44352,-653.3777,11017.3739
45696,-640.6636,11349.9267
47040,-667.985,11687.1222
48384,-669.1742,12022.8343
49728,-654.4113,12355.8018
51072,-649.1711,12691.7138
52416,-634.6827,13046.214
53760,-657.1393,13382.7227
55104,-659.364,13720.0952
56448,-666.4735,14058.066
57792,-642.7194,14397.2541
59136,-638.9676,14736.9739
60480,-644.9247,15079.1953
61824,-646.8249,15426.2263
63168,-644.7455,15778.1182
64512,-639.6024,16143.2847
65856,-629.0604,16530.8459
67200,-646.1852,16889.1126
68544,-632.1257,17285.2687
69888,-632.7638,17643.4319
71232,-676.2575,17988.4005
72576,-651.9386,18340.8465
73920,-645.7977,18692.6009
75264,-646.6258,19055.1183
76608,-655.525,19410.7199
77952,-638.2986,19765.2485
79296,-657.6556,20112.5039
80640,-657.9116,20448.8776
81984,-658.3091,20785.0599
83328,-640.6393,21125.1368
84672,-644.1785,21466.6988
86016,-672.241,21808.7743
87360,-667.6875,22155.1754
88704,-649.7565,22506.4862
90048,-647.2573,22863.5121
91392,-660.2349,23219.8219
92736,-681.8171,23611.9131
94080,-657.8696,24012.4109
95424,-664.296,24431.8401
96768,-649.3666,24808.4833
98112,-633.8334,25216.6757
99456,-676.7153,25630.8107
100800,-633.5816,26055.9155
102144,-636.9183,26475.2863
103488,-663.1429,26909.445
104832,-670.2787,27260.8003
106176,-645.6365,27598.3787
107520,-660.2793,27948.2228
108864,-667.5488,28300.3102
110208,-646.5776,28661.1131
111552,-658.299,29036.8075
112896,-650.9943,29406.4847
114240,-659.2736,29781.5804
115584,-642.9745,30162.3517
116928,-647.8085,30540.7675
118272,-661.8406,30913.5116
119616,-665.4005,31283.6977
120960,-631.7989,31660.2939
122304,-629.9706,32030.5253
123648,-634.7637,32408.3432
124992,-638.4016,32796.7987
126336,-641.4462,33189.463
127680,-632.3625,33537.2936
129024,-650.1259,33892.3601
130368,-638.5242,34287.2093
131712,-643.985,34694.0584
133056,-661.114,35112.5952
134400,-645.0154,35554.2361
135744,-646.6989,35949.1968
137088,-643.6073,36357.5889
138432,-666.8708,36770.1607
139776,-656.2357,37184.6233
141120,-610.7753,37566.8777
142464,-619.7847,37934.2017
143808,-659.2679,38299.2937
145152,-651.0807,38669.5495
146496,-635.0179,39040.9713
147840,-643.7551,39408.5534
149184,-652.9739,39772.8257
150528,-643.7613,40118.987
151872,-627.7933,40474.933
