,ene_cost,penalty,sum
0,-0.0,-0.0,0.0
1,-0.0,-0.0,0.0
2,-0.0,-0.0,0.0
3,-0.0,-0.0,0.0
4,-0.0,-0.0,0.0
5,-0.0,-0.0,0.0
6,-0.0,-0.0,0.0
7,-0.0,-0.0,0.0
8,-0.0,-0.0,0.0
9,-0.0,-0.0,0.0
10,-0.0,-0.0,0.0
11,-0.0,-0.0,0.0
12,-0.0,-0.0,0.0
13,-0.0,-0.0,0.0
14,-0.0,-0.0,0.0
15,-0.0,-0.0,0.0
16,-0.0,-0.0,0.0
17,-0.0,-0.0,0.0
18,-0.0,-0.0,0.0
19,-0.0,-0.0,0.0
20,-0.0,-0.0,0.0
21,-0.0,-0.0,0.0
22,-0.0,-0.0,0.0
23,-0.0,-0.0,0.0
24,-0.0,-0.0,0.0
25,-0.0,-0.0,0.0
26,-0.0,-0.0,0.0
27,-0.0,-0.0,0.0
28,-4.661123708742762e-06,-856.3582509539856,-856.3582556151093
29,-1.3983371126228283e-05,-970.2069545677205,-970.2069685510916
30,-1.3983371126228283e-05,-994.6366696723771,-994.6366836557482
31,-1.3983371126228283e-05,-963.1005935820781,-963.1006075654492
32,-3.0391983182161784e-05,-912.2731827993675,-912.2732131913507
33,-3.0391983182161784e-05,-753.5130255548438,-753.513055946827
34,-3.0391983182161784e-05,-637.8213821384065,-637.8214125303897
35,-3.0391983182161784e-05,-514.9526338677902,-514.9526642597733
36,-3.0391983182161784e-05,-384.0768834631831,-384.07691385516625
37,-3.0391983182161784e-05,-246.20168839104508,-246.20171878302827
38,-3.0391983182161784e-05,-100.93992588915626,-100.93995628113944
39,-3.0391983182161784e-05,-0.0,-3.0391983182161784e-05
40,-3.0391983182161784e-05,-0.0,-3.0391983182161784e-05
41,-3.0391983182161784e-05,-0.0,-3.0391983182161784e-05
42,-7.447031497302056e-05,-0.0,-7.447031497302056e-05
43,-0.00014152197246349558,-0.0,-0.00014152197246349558
44,-0.0002385222836073622,-0.0,-0.0002385222836073622
45,-0.00036958792990346575,-0.0,-0.00036958792990346575
46,-0.0005290107548209196,-0.0,-0.0005290107548209196
47,-0.0007009029418842251,-0.0,-0.0007009029418842251
48,-0.0022147209579284365,-0.0,-0.0022147209579284365
49,-0.002618096184777813,-0.0,-0.002618096184777813
50,-0.0029887082589370763,-0.0,-0.0029887082589370763
51,-0.0033106971615660223,-0.0,-0.0033106971615660223
52,-0.003564705655191268,-0.0,-0.003564705655191268
53,-0.0037226074801684074,-0.0,-0.0037226074801684074
54,-0.0037573056284313238,-0.0,-0.0037573056284313238
55,-0.003699292354289027,-0.0,-0.003699292354289027
56,-0.0035831863942521595,-0.0,-0.0035831863942521595
57,-0.003423438831234388,-0.0,-0.003423438831234388
58,-0.0032168959447687944,-0.0,-0.0032168959447687944
59,-0.0029536761198839666,-0.0,-0.0029536761198839666
60,-0.002632813035536595,-0.0,-0.002632813035536595
61,-0.0022918920065822957,-0.0,-0.0022918920065822957
62,-0.001964664813976033,-0.0,-0.001964664813976033
63,-0.0016750531478087016,-0.0,-0.0016750531478087016
64,-0.0014269294954198993,-0.0,-0.0014269294954198993
65,-0.0012130217909086215,-0.0,-0.0012130217909086215
66,-0.00103334896839094,-0.0,-0.00103334896839094
67,-0.0008780167128334561,-0.0,-0.0008780167128334561
68,-0.0007365970852544885,-0.0,-0.0007365970852544885
69,-0.0006084785922609523,-0.0,-0.0006084785922609523
70,-0.0004905683163667831,-0.0,-0.0004905683163667831
71,-0.00038343200305337245,-0.0,-0.00038343200305337245
72,-8.757665143771267e-05,-0.0,-8.757665143771267e-05
73,-4.862945933461378e-05,-0.0,-4.862945933461378e-05
74,-3.0391983182161784e-05,-0.0,-3.0391983182161784e-05
75,-3.0391983182161784e-05,-0.0,-3.0391983182161784e-05
76,-1.5919610238498074e-05,-0.0,-1.5919610238498074e-05
77,-0.0,-0.0,0.0
78,-0.0,-0.0,0.0
79,-0.0,-0.0,0.0
80,-0.0,-0.0,0.0
81,-0.0,-0.0,0.0
82,-0.0,-0.0,0.0
83,-0.0,-0.0,0.0
84,-0.0,-0.0,0.0
85,-0.0,-0.0,0.0
86,-0.0,-0.0,0.0
87,-0.0,-0.0,0.0
88,-0.0,-0.0,0.0
89,-0.0,-0.0,0.0
90,-0.0,-0.0,0.0
91,-0.0,-0.0,0.0
92,-0.0,-0.0,0.0
93,-0.0,-0.0,0.0
94,-0.0,-0.0,0.0
95,-0.0,-0.0,0.0
96,-0.0,-0.0,0.0
97,-0.0,-0.0,0.0
98,-0.0,-0.0,0.0
99,-0.0,-0.0,0.0
100,-0.0,-0.0,0.0
101,-0.0,-0.0,0.0
102,-0.0,-0.0,0.0
103,-0.0,-0.0,0.0
104,-0.0,-0.0,0.0
105,-0.0,-0.0,0.0
106,-0.0,-0.0,0.0
107,-0.0,-0.0,0.0
108,-0.0,-0.0,0.0
109,-0.0,-0.0,0.0
110,-0.0,-0.0,0.0
111,-0.0,-0.0,0.0
112,-0.0,-0.0,0.0
113,-0.0,-0.0,0.0
114,-0.0,-0.0,0.0
115,-0.0,-0.0,0.0
116,-0.0,-0.0,0.0
117,-0.0,-0.0,0.0
118,-0.0,-0.0,0.0
119,-0.0,-0.0,0.0
120,-0.0,-0.0,0.0
121,-0.0,-0.0,0.0
122,-0.0,-0.0,0.0
123,-0.0,-0.0,0.0
124,-8.656372601766274e-06,-804.9608064527888,-804.9608151091614
125,-1.3983371126228283e-05,-930.1501031918406,-930.1501171752117
126,-1.3983371126228283e-05,-899.4057361964224,-899.4057501797935
127,-1.3983371126228283e-05,-837.8428341423614,-837.8428481257325
128,-3.0391983182161784e-05,-761.3021386169635,-761.3021690089466
129,-3.0391983182161784e-05,-594.5756970302682,-594.5757274222514
130,-3.0391983182161784e-05,-476.83103644355924,-476.8310668355424
