,T_oa,T_roo,mass_flow
20352,291.96319,292.2256898,0.075
20353,291.7623714,291.4323493,0.075
20354,291.5515715,291.1545253,0.075
20355,291.3495323,290.928819,0.075
20356,291.168342,290.715533,0.075
20357,290.9933333,290.5110396,0.075
20358,290.8183333,290.3134405,0.075
20359,290.6433333,290.1225846,0.075
20360,290.4683333,289.9384473,0.075
20361,290.2933333,289.7606829,0.075
20362,290.1183333,289.5887887,0.075
20363,289.9433333,289.4224015,0.075
20364,289.7683333,289.2611041,0.075
20365,289.5933333,289.1045054,0.075
20366,289.4183333,288.9522323,0.075
20367,289.2434458,288.8040087,0.075
20368,289.1387171,288.6616057,0.075
20369,289.3290582,288.5414352,0.075
20370,289.7026948,288.4551432,0.075
20371,290.0413999,288.4035062,0.075
20372,290.17189,288.3787144,0.075
20373,290.1601977,288.3648603,0.075
20374,290.1129264,288.3591324,0.075
20375,290.1117712,288.3635591,0.076713541
20376,290.2341634,287.7718708,0.293362796
20377,290.4881071,287.8236062,0.155648593
20378,290.7921116,287.3191445,0.606553113
20379,291.0524413,287.2901244,0.49083021
20380,291.1865004,287.9097217,0.204116307
20381,291.1996824,288.0200586,0.382474264
20382,291.1596986,288.1098924,0.29188037
20383,291.1368998,288.3060924,0.296795568
20384,291.1899286,288.1873425,0.583753591
20385,291.3259172,289.2152667,0.17788969
20386,291.5587329,289.4203732,0.359813451
20387,291.9119574,289.2465873,0.486214505
20388,292.4782427,290.6165743,0.207279686
20389,293.4603011,290.8555723,0.34938619
20390,294.6482363,290.2444941,0.556660469
20391,295.7141442,290.0387398,0.614869165
20392,296.4131844,291.9724338,0.180034703
20393,296.8977686,293.4613163,0.163578885
20394,297.3344096,294.4870505,0.130537231
20395,297.8325875,295.1669234,0.144023784
20396,298.480944,296.4604483,0.092314119
20397,299.2450729,295.0897538,0.301648768
20398,300.0404307,294.1282652,0.395487598
20399,300.7888859,292.8754392,0.62969
20400,301.431788,293.0723254,0.545764608
20401,301.9964171,296.6636599,0.164575985
20402,302.4985003,296.1524982,0.329980507
20403,302.9380893,295.8532425,0.31030885
20404,303.3125068,296.6430328,0.25536642
