,speed,mass_flow,T_oa,T_sa,T_roo,P_tot
17376.0,0.0,0.0,290.509844652503,293.15,293.1040513339328,0.0
17377.0,0.0,0.0,290.4090334803968,293.15,293.00776414161714,0.0
17378.0,0.0,0.0,290.29824577222655,293.15,292.9080724826527,0.0
17379.0,0.0,0.0,290.19618608926805,293.15,292.80070018911414,0.0
17380.0,0.0,0.0,290.11502115945143,293.15,292.6904668465595,0.0
17381.0,0.0,0.0,290.03999999999996,293.15,292.5815403140444,0.0
17382.0,0.0,0.0,289.965,293.15,292.4753403008492,0.0
17383.0,0.0,0.0,289.89,293.15,292.372299526521,0.0
17384.0,0.0,0.0,289.81499999999994,293.15,292.2724293206631,0.0
17385.0,0.0,0.0,289.73999999999995,293.15,292.175423034008,0.0
17386.0,0.0,0.0,289.66499999999996,293.15,292.08078829670296,0.0
17387.0,0.0,0.0,289.5899952448933,293.15,291.98805367034686,0.0
17388.0,0.0,0.0,289.5102124348087,293.15,291.8967934020518,0.0
17389.0,0.0,0.0,289.4146406055526,293.15,291.80633627564526,0.0
17390.0,0.0,0.0,289.32281567493635,293.15,291.7161917591972,0.0
17391.0,0.0,0.0,289.26289986779375,293.15,291.62706825052254,0.0
17392.0,0.0,0.0,289.25003123379605,293.15,291.5412335424199,0.0
17393.0,0.0,0.0,289.25,293.15,291.46103201598186,0.0
17394.0,0.0,0.0,289.25,293.15,291.3875230647148,0.0
17395.0,0.0,0.0,289.25,293.15,291.3214722361605,0.0
17396.0,0.0,0.0,289.25,293.15,291.2639279379092,0.0
17397.0,0.0,0.0,289.25,293.15,291.2163415160927,0.0
17398.0,0.0,0.0,289.25,293.15,291.1796504739588,0.0
17399.0,0.19240798397575587,0.07696319359030236,289.25,292.5897537099035,291.2091648991981,11.591822053648722
17400.0,0.6541011096409189,0.2616404438563676,289.25,291.3913841307926,291.29121714421177,101.93188698299713
17401.0,0.3054705261754743,0.12218821047018973,289.25,291.1516552744209,291.30121178364914,12.207705757127579
17402.0,0.28876016885270794,0.11550406754108318,289.25,291.0908714518449,291.3306768996849,13.33197636434188
17403.0,0.7174716065980868,0.2869886426392348,289.25,291.475388492724,291.42117533404934,131.5644579531731
17404.0,0.8671874593153671,0.34687498372614683,289.2727513141055,287.90546027232836,290.99557159300224,222.08431113379598
17405.0,0.7765402140674708,0.3106160856269884,289.3923258251439,286.1845022340731,289.9082033977163,165.89421657163857
17406.0,0.504653020589879,0.20186120823595163,289.5782290057362,286.14220337821183,289.7498370019735,44.68280796408338
17407.0,0.46878444190443125,0.18751377676177253,289.76632364079086,286.1491643813085,289.842629596318,35.382298184621504
17408.0,0.3449645139089196,0.13798580556356782,289.90863783319463,286.1474763226579,290.1768051491557,14.867315735169765
17409.0,0.3671945148169074,0.14687780592676294,290.0311292501882,286.1576020695229,290.64210923742587,26.71760810975638
