,uFan,PTot,TRoo
17366400.0,0.0,0.0,298.15
17366460.0,0.0,0.0,298.10023173189444
17366520.0,0.0,0.0,298.0528879658938
17366580.0,0.0,0.0,298.0082441654372
17366640.0,0.0,0.0,297.96636218418746
17366700.0,0.0,0.0,297.92720170759395
17366760.0,0.0,0.0,297.8906818761452
17366820.0,0.0,0.0,297.85669351304705
17366880.0,0.0,0.0,297.825108461625
17366940.0,0.0,0.0,297.795787180616
17367000.0,0.0,0.0,297.7685845172855
17367060.0,0.0,0.0,297.7433539742025
17367120.0,0.0,0.0,297.71995080573436
17367180.0,0.0,0.0,297.6982342260428
17367240.0,0.0,0.0,297.6780689462897
17367300.0,0.0,0.0,297.6593262048233
17367300.0,0.0,0.0,297.6593262048233
17367360.0,0.0,0.0,297.6424821816733
17367420.0,0.0,0.0,297.6263820668662
17367480.0,0.0,0.0,297.611212874057
17367540.0,0.0,0.0,297.59697747568157
17367600.0,0.0,0.0,297.5836195520325
17367660.0,0.0,0.0,297.5710669115957
17367720.0,0.0,0.0,297.55924627102274
17367780.0,0.0,0.0,297.54808813972227
17367840.0,0.0,0.0,297.53752826217124
17367900.0,0.0,0.0,297.5275078602395
17367960.0,0.0,0.0,297.5179734591762
17368020.0,0.0,0.0,297.5088765737859
17368080.0,0.0,0.0,297.5001733540731
17368140.0,0.0,0.0,297.4918242270876
17368200.0,0.0,0.0,297.4837935492215
17368200.0,0.0,0.0,297.4837935492215
17368260.0,0.0,0.0,297.4761779456544
17368320.0,0.0,0.0,297.4687224346737
17368380.0,0.0,0.0,297.4614662830131
17368440.0,0.0,0.0,297.45440895137733
17368500.0,0.0,0.0,297.4475375473135
17368560.0,0.0,0.0,297.44083627767293
17368620.0,0.0,0.0,297.43428959510857
17368680.0,0.0,0.0,297.4278831668488
17368740.0,0.0,0.0,297.4216040980034
17368800.0,0.0,0.0,297.415440905966
17368860.0,0.0,0.0,297.4093834176542
17368920.0,0.0,0.0,297.40342264856343
17368980.0,0.0,0.0,297.39755068347137
17369040.0,0.0,0.0,297.3917605650629
17369100.0,0.0,0.0,297.3860461920634
17369100.0,0.0,0.0,297.3860461920634
17369160.0,0.0,0.0,297.3804340607705
17369220.0,0.0,0.0,297.3748637970436
17369280.0,0.0,0.0,297.36934728380515
17369340.0,0.0,0.0,297.36388650583723
17369400.0,0.0,0.0,297.3584802978214
17369460.0,0.0,0.0,297.3531266642265
17369520.0,0.0,0.0,297.34782355285967
17369580.0,0.0,0.0,297.34256909622474
17369640.0,0.0,0.0,297.3373616714475
17369700.0,0.0,0.0,297.33219989999486
17369760.0,0.0,0.0,297.3270826289557
17369820.0,0.0,0.0,297.32200890814306
17369880.0,0.0,0.0,297.3169779677648
17369940.0,0.0,0.0,297.31198919813545
17370000.0,0.0,0.0,297.3070421317917
17370000.0,0.0,0.0,297.3070421317917
17370060.0,0.0,0.0,297.3021570380808
17370120.0,0.0,0.0,297.2973003451809
17370180.0,0.0,0.0,297.2924820293106
17370240.0,0.0,0.0,297.28770588702815
17370300.0,0.0,0.0,297.2829735336845
17370360.0,0.0,0.0,297.2782857713819
17370420.0,0.0,0.0,297.2736430635342
17370480.0,0.0,0.0,297.26904570955895
17370540.0,0.0,0.0,297.2644939195457
17370600.0,0.0,0.0,297.2599878571076
17370660.0,0.0,0.0,297.2555276751025
17370720.0,0.0,0.0,297.25111355566895
17370780.0,0.0,0.0,297.2467457646445
17370840.0,0.0,0.0,297.2424247378331
17370900.0,0.0,0.0,297.238151243689
17370900.0,0.0,0.0,297.238151243689
17370960.0,0.0,0.0,297.23394968895263
17371020.0,0.0,0.0,297.2297840006427
17371080.0,0.0,0.0,297.22565138463
17371140.0,0.0,0.0,297.2215415898337
17371200.0,0.0,0.0,297.2174462515822
17371260.0,0.0,0.0,297.21335951401363
17371320.0,0.0,0.0,297.20927750805936
17371380.0,0.0,0.0,297.2051978094421
17371440.0,0.0,0.0,297.2011190415558
17371500.0,0.0,0.0,297.197040603374
17371560.0,0.0,0.0,297.1929624811257
17371620.0,0.0,0.0,297.18888511197184
17371680.0,0.0,0.0,297.18480927937856
17371740.0,0.0,0.0,297.18073602823165
17371800.0,0.0,0.0,297.1766665930441
17371800.0,0.0,0.0,297.1766665930441
17371860.0,0.0,0.0,297.1726032194387
17371920.0,0.0,0.0,297.1685462874385
17371980.0,0.0,0.0,297.16449733767695
17372040.0,0.0,0.0,297.1604578590908
17372100.0,0.0,0.0,297.15642925211165
17372160.0,0.0,0.0,297.1524128353534
17372220.0,0.0,0.0,297.14840983000374
17372280.0,0.0,0.0,297.1444213432313
17372340.0,0.0,0.0,297.14044835549146
17372400.0,0.0,0.0,297.1364917122456
17372460.0,0.0,0.0,297.13255211959694
17372520.0,0.0,0.0,297.128630143204
17372580.0,0.0,0.0,297.1247262098732
17372640.0,0.0,0.0,297.1208406111298
17372700.0,0.0,0.0,297.1169735072691
17372700.0,0.0,0.0,297.1169735072691
17372760.0,0.0,0.0,297.11313262687963
17372820.0,0.0,0.0,297.1093110824256
17372880.0,0.0,0.0,297.10549950266767
17372940.0,0.0,0.0,297.1017054470346
17373000.0,0.0,0.0,297.09792848630553
17373060.0,0.0,0.0,297.09416799271014
17373120.0,0.0,0.0,297.09042316233433
17373180.0,0.0,0.0,297.08669304835877
17373240.0,0.0,0.0,297.082976583011
17373300.0,0.0,0.0,297.0792725981411
17373360.0,0.0,0.0,297.0755798465558
17373420.0,0.0,0.0,297.0718970238147
17373480.0,0.0,0.0,297.06822278958384
17373540.0,0.0,0.0,297.06455578766054
17373600.0,0.0,0.0,297.0608946639959
17373600.0,0.0,0.0,297.0608946639959
17373660.0,0.0,0.0,297.0572399941507
17373720.0,0.0,0.0,297.0535870909683
17373780.0,0.0,0.0,297.04993585486915
17373840.0,0.0,0.0,297.0462856131925
17373900.0,0.0,0.0,297.0426355545812
17373960.0,0.0,0.0,297.03898488165925
17374020.0,0.0,0.0,297.0353328621755
17374080.0,0.0,0.0,297.0316788438383
17374140.0,0.0,0.0,297.02802225610134
17374200.0,0.0,0.0,297.02436260722556
17374260.0,0.0,0.0,297.02069947963014
17374320.0,0.0,0.0,297.01703252465484
17374380.0,0.0,0.0,297.01336145717636
17374440.0,0.0,0.0,297.0096860502723
17374500.0,0.0,0.0,297.00600613003087
17374500.0,0.0,0.0,297.00600613003087
17374560.0,0.0,0.0,297.0023193335133
17374620.0,0.0,0.0,296.9986294020027
17374680.0,0.0,0.0,296.9949352546595
17374740.0,0.0,0.0,296.99123654597355
17374800.0,0.0,0.0,296.98753321941297
17374860.0,0.0,0.0,296.98382536403346
17374920.0,0.0,0.0,296.9801131732489
17374980.0,0.0,0.0,296.9763969350346
17375040.0,0.0,0.0,296.9726770286815
17375100.0,0.0,0.0,296.96895391958765
17375160.0,0.0,0.0,296.9652281497834
17375220.0,0.0,0.0,296.96150032439664
17375280.0,0.0,0.0,296.9577710952397
17375340.0,0.0,0.0,296.95404114296656
17375400.0,0.0,0.0,296.9503111591544
17375400.0,0.0,0.0,296.9503111591544
17375460.0,0.0,0.0,296.9465824953252
17375520.0,0.0,0.0,296.94285579605116
17375580.0,0.0,0.0,296.9391310954977
17375640.0,0.0,0.0,296.93540984307003
17375700.0,0.0,0.0,296.93169205158915
17375760.0,0.0,0.0,296.92797809789727
17375820.0,0.0,0.0,296.92426829897454
17375880.0,0.0,0.0,296.920562913496
17375940.0,0.0,0.0,296.9168621442459
17376000.0,0.0,0.0,296.9131661295985
17376060.0,0.0,0.0,296.90947499468854
17376120.0,0.0,0.0,296.9057887758628
17376180.0,0.0,0.0,296.9021074635273
17376240.0,0.0,0.0,296.8984309803173
17376300.0,0.0,0.0,296.8947591743235
17376300.0,0.0,0.0,296.8947591743235
17376360.0,0.0,0.0,296.8910918058228
17376420.0,0.0,0.0,296.88742731579777
17376480.0,0.0,0.0,296.8837664581288
17376540.0,0.0,0.0,296.88010924039907
17376600.0,0.0,0.0,296.8764553746261
17376660.0,0.0,0.0,296.8728044371688
17376720.0,0.0,0.0,296.86915593053885
17376780.0,0.0,0.0,296.86550931294084
17376840.0,0.0,0.0,296.861864017189
17376900.0,0.0,0.0,296.85821946578153
17376960.0,0.0,0.0,296.8545750840029
17377020.0,0.0,0.0,296.8509303114024
17377080.0,0.0,0.0,296.84728461160427
17377140.0,0.0,0.0,296.8436374803767
17377200.0,0.0,0.0,296.8399884519568
17377200.0,0.0,0.0,296.8399884519568
17377260.0,0.0,0.0,296.83633547782586
17377320.0,0.0,0.0,296.8326802741597
17377380.0,0.0,0.0,296.82902169185223
17377440.0,0.0,0.0,296.82535888807837
17377500.0,0.0,0.0,296.82169110499933
17377560.0,0.0,0.0,296.81801761810385
17377620.0,0.0,0.0,296.8143377335615
17377680.0,0.0,0.0,296.8106507974764
17377740.0,0.0,0.0,296.806956206225
17377800.0,0.0,0.0,296.8032534150024
17377860.0,0.0,0.0,296.79954194404627
17377920.0,0.0,0.0,296.7958213826615
17377980.0,0.0,0.0,296.7920913913263
17378040.0,0.0,0.0,296.788351702176
17378100.0,0.0,0.0,296.784602118136
17378100.0,0.0,0.0,296.784602118136
17378160.0,0.0,0.0,296.7808373287818
17378220.0,0.0,0.0,296.7770657962715
17378280.0,0.0,0.0,296.77328532904045
17378340.0,0.0,0.0,296.7694952582403
17378400.0,0.0,0.0,296.76569545038694
17378460.0,0.0,0.0,296.7618859790304
17378520.0,0.0,0.0,296.7580670144456
17378580.0,0.0,0.0,296.75423878440364
17378640.0,0.0,0.0,296.7504015581209
17378700.0,0.0,0.0,296.7465556378504
17378760.0,0.0,0.0,296.74270135311923
17378820.0,0.0,0.0,296.7388390560348
17378880.0,0.0,0.0,296.73496911717956
17378940.0,0.0,0.0,296.7310919219645
17379000.0,0.0,0.0,296.72720786741644
17379000.0,0.0,0.0,296.72720786741644
17379060.0,0.0,0.0,296.7233140973106
17379120.0,0.0,0.0,296.7194164867407
17379180.0,0.0,0.0,296.7155141070798
17379240.0,0.0,0.0,296.7116070152254
17379300.0,0.0,0.0,296.70769561470223
17379360.0,0.0,0.0,296.7037804389772
17379420.0,0.0,0.0,296.6998620769042
17379480.0,0.0,0.0,296.69594114588926
17379540.0,0.0,0.0,296.69201828147106
17379600.0,0.0,0.0,296.6880941328899
17379660.0,0.0,0.0,296.6841693611259
17379720.0,0.0,0.0,296.68024463817727
17379780.0,0.0,0.0,296.6763206471039
17379840.0,0.0,0.0,296.6723980826178
17379900.0,0.0,0.0,296.66847765208735
17379900.0,0.0,0.0,296.66847765208735
17379960.0,0.0,0.0,296.6645614587268
17380020.0,0.0,0.0,296.6606478878439
17380080.0,0.0,0.0,296.6567383170216
17380140.0,0.0,0.0,296.6528337321268
17380200.0,0.0,0.0,296.6489350023467
17380260.0,0.0,0.0,296.6450429731626
17380320.0,0.0,0.0,296.64115849815255
17380380.0,0.0,0.0,296.6372824504784
17380440.0,0.0,0.0,296.6334157275134
17380500.0,0.0,0.0,296.6295592530156
17380560.0,0.0,0.0,296.62571397827065
17380620.0,0.0,0.0,296.6218808826552
17380680.0,0.0,0.0,296.6180609737505
17380740.0,0.0,0.0,296.61425528703813
17380800.0,0.0,0.0,296.6104648851796
17380800.0,0.0,0.0,296.6104648851796
17380860.0,0.0,0.0,296.60670165808017
17380920.0,0.0,0.0,296.60295563081536
17380980.0,0.0,0.0,296.5992363463568
17381040.0,0.0,0.0,296.5955504969304
17381100.0,0.0,0.0,296.59190350087465
17381160.0,0.0,0.0,296.58830004727776
17381220.0,0.0,0.0,296.58474429417623
17381280.0,0.0,0.0,296.58123995214424
17381340.0,0.0,0.0,296.5777903296506
17381400.0,0.0,0.0,296.5743983652228
17381460.0,0.0,0.0,296.57106665456615
17381520.0,0.0,0.0,296.5677974752533
17381580.0,0.0,0.0,296.56459280980624
17381640.0,0.0,0.0,296.56145436742366
17381700.0,0.0,0.0,296.5583836018168
17381700.0,0.0,0.0,296.5583836018168
17381760.0,0.0,0.0,296.55541433091173
17381820.0,0.0,0.0,296.5524915450104
17381880.0,0.0,0.0,296.54963125774987
17381940.0,0.0,0.0,296.546839086795
17382000.0,0.0,0.0,296.54411698148544
17382060.0,0.0,0.0,296.5414655495056
17382120.0,0.0,0.0,296.53888487209656
17382180.0,0.0,0.0,296.5363748062838
17382240.0,0.0,0.0,296.53393512685835
17382300.0,0.0,0.0,296.5315655900841
17382360.0,0.0,0.0,296.5292659156995
17382420.0,0.0,0.0,296.52703569490467
17382480.0,0.0,0.0,296.52487434593087
17382540.0,0.0,0.0,296.52278118706136
17382600.0,0.0,0.0,296.5207554591243
17382600.0,0.0,0.0,296.5207554591243
17382660.0,0.0,0.0,296.5188280226706
17382720.0,0.0,0.0,296.5169439602294
17382780.0,0.0,0.0,296.51511742583745
17382840.0,0.0,0.0,296.5133527600717
17382900.0,0.0,0.0,296.5116509586827
17382960.0,0.0,0.0,296.51001185695094
17383020.0,0.0,0.0,296.50843482560697
17383080.0,0.0,0.0,296.50691909978275
17383140.0,0.0,0.0,296.50546400399145
17383200.0,0.0,0.0,296.5040690917665
17383260.0,0.0,0.0,296.5027341697799
17383320.0,0.0,0.0,296.50145917664895
17383380.0,0.0,0.0,296.5002439610167
17383440.0,0.0,0.0,296.49908822767645
17383500.0,0.0,0.0,296.49799155467207
17383500.0,0.0,0.0,296.49799155467207
17383560.0,0.0,0.0,296.49698201168826
17383620.0,0.0,0.0,296.4960107572056
17383680.0,0.0,0.0,296.49509008523336
17383740.0,0.0,0.0,296.49422366012885
17383800.0,0.0,0.0,296.4934124508899
17383860.0,0.0,0.0,296.4926567483636
17383920.0,0.0,0.0,296.4919567442285
17383980.0,0.0,0.0,296.49131255029107
17384040.0,0.0,0.0,296.4907239547029
17384100.0,0.0,0.0,296.49019004784066
17384160.0,0.0,0.0,296.4897093837007
17384220.0,0.0,0.0,296.4892802869826
17384280.0,0.0,0.0,296.48890102334144
17384340.0,0.0,0.0,296.4885698669226
17384400.0,0.0,0.0,296.4882851179323
17384400.0,0.0,0.0,296.4882851179323
17384460.0,0.0,0.0,296.4880682743583
17384520.0,0.0,0.0,296.4878816084496
17384580.0,0.0,0.0,296.4877354982213
17384640.0,0.0,0.0,296.4876338423168
17384700.0,0.0,0.0,296.48757842330605
17384760.0,0.0,0.0,296.4875703659413
17384820.0,0.0,0.0,296.48761061492183
17384880.0,0.0,0.0,296.48770008645283
17384940.0,0.0,0.0,296.48783971192955
17385000.0,0.0,0.0,296.4880304465258
17385060.0,0.0,0.0,296.4882732668603
17385120.0,0.0,0.0,296.48856916568684
17385180.0,0.0,0.0,296.48891914614416
17385240.0,0.0,0.0,296.48932421630906
17385300.0,0.0,0.0,296.48978538421835
17385300.0,0.0,0.0,296.48978538421835
17385360.0,0.0,0.0,296.4903320888031
17385420.0,0.0,0.0,296.490917874583
17385480.0,0.0,0.0,296.49155652324964
17385540.0,0.0,0.0,296.4922577095674
